Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Olden Polynice,35,C,UTA,82,1819,260,10.4,9.9,0.062,0.062,0.091,0.3,41.6,27.3
Sam Mitchell,36,SF,MIN,66,1227,68,12.0,10.3,0.073,0.073,0.162,0.125,44.5,0.0
Brad Miller,23,C,CHH,55,961,62,18.9,15.8,0.103,0.103,0.199,0.125,61.6,0.0
Antonio Daniels,24,SG,SAS,68,1195,82,15.2,13.9,0.078,0.078,0.199,0.125,50.4,0.0
A.C. Green,36,PF,LAL,82,1929,429,11.2,10.6,0.062,0.062,0.078,0.844,50.7,65.8
Scot Pollard,24,C,SAC,76,1336,70,15.8,9.6,0.088,0.088,0.091,0.222,47.3,0.0
Muggsy Bogues,35,PG,TOR,80,1731,87,12.5,4.5,0.074,0.074,0.07,0.0,40.6,0.0
Darrick Martin,28,PG,SAC,71,893,21,11.9,8.8,0.067,0.067,0.083,0.222,36.0,0.0
Todd Day,30,SG,PHO,58,941,100,13.2,11.6,0.063,0.063,0.117,0.323,40.7,37.8
John Wallace,25,SF,NYK,60,798,4,13.3,-22.7,0.087,0.087,-0.208,0.58,53.1,0.0
Ervin Johnson,32,C,MIL,80,2129,155,12.7,14.2,0.067,0.067,0.142,0.222,34.3,31.5
Randy Livingston,24,PG,PHO,79,1081,63,11.4,0.5,0.055,0.055,0.005,0.323,35.5,0.0
Chris Childs,32,PG,NYK,71,1675,334,8.6,10.2,0.056,0.056,0.093,0.58,34.2,53.9
Billy Owens,30,SF,"PHI, GSW",62,1305,0,10.5,,"0.049, 0.042",0.047,0.0,0.0,24.3,0.0
Bobby Jackson,26,PG,MIN,73,1034,30,14.6,26.5,0.088,0.088,0.417,0.125,53.7,0.0
Greg Ostertag,26,C,UTA,81,1606,172,13.5,12.0,0.081,0.081,0.11,0.3,54.4,33.0
Samaki Walker,23,PF,SAS,71,980,121,13.1,15.6,0.067,0.067,0.223,0.125,43.3,27.9
